"","x"
"96","Harga tiket pesawat nya Hemat.. five star.."
"97","Kenapa mau mesan lewat apliksi gabisa? Tulisannya gangguan pada server?"
"98","Mantapp"
"99","Mantul"
"100","Nice . Membantuu sekali"
"101","Airy memberikan pilihan harga hotel yg murah"
"102","Ok"
"103","Apik"
"104","Airy paling murah.semua aplikasi ada kelebihan dan kekurangan.tetapi airy tidak kalah saingan.lain kali akan coba hotelnya juga"
"105","Kalau bisa.. Dari papua ke manado agak murah dikit lagi yaa.. Heheheheh"
"106","Coba dulu"
"107","Bagus"
"108","Mantul"
"109","Mantul"
"110","Ok"
"111","Beli tiket lebih murah dan gampang"
"112","Cepat tanggap dan tepat"
"113","Ok"
"114","Terbantu dengan aplikasinya"
"115","Belum pernah"
"116","Siip"
"117","Memudahkan sekale"
"118","OK"
"119","Cepat juga pemesanan kamarnya, dan tdk ribet"
"120","Baru pertama pesan di airy mdh2 an hotel nya bagus"
"121","Dana g ribet &praktis"
"122","langganan.. Aplikasi yg mudah"
"123","Airy is The best .. mantull👍👍👍"
"124","Lebih murah dari yg lain"
"125","Murah"
"126","Is thebast"
"127","Cepat .. gak pake lama .."
"128","Ok"
"129","Good"
"130","Semoga Airy bisa terpercaya..."
"131","Sangat membantu"
"132","Good"
"133","Pelayanan baik dan cepat juga jelas"
"134","Terima kasih sdh banyak membantu perjalanan saya dan keluarga"
"135","👍"
"136","ok"
"137","Good Application, Easy & Very Helpul"
"138","Mantap"
"139","Keren, mudah, dan simpel"
"140","Nice"
"141","Aplikasi Airy sangat membantu saya,dan sangat memudahkan memesan kamar hotel dengan budget sesuai yang saya inginkan.dan proses pembayaran juga sangat cepat,tidak bertele-tele.top buat Airy."
"142","Good"
"143","Cepat dan harga bersaing"
"144","Perjalanan Lebih Mudah dan Murah"
"145","Mantabb"
"146","Good tempat nya nyamn"
"147","Kamar bersih dan tenang"
"148","Mudah dimengerti"
"149","Keren"
"150","Masih banyak sekali bugnya, mau bayar selalu terjadi kesalahan, akhirnya harus buka lewat web. Mau liat kupon harus login padahal sudah login, dan masih banyak bug yg lain"
"151","Membantu"
"152","Good"
"153","Sangat membantu bagi. Saya"
"154","First day menginap di Airy 😚"
"155","Membantu"
"156","Oke"
"157","Good"
"158","Penggunsan yg praktis"
"159","Mudah dan ekonomis"
"160","Yaowi"
"161","Sementara"
"162","Ok banget"
"163","Ok"
"164","Mengapa data pesanan hilang semua termasuk tiket pesawat yang sudah dibayar untuk penerbangan pada 23-12-2019 yg belum di gunakan ????????"
"165","Memudahkan mencari penginapan yang oke"
"166","Perbnyak diskonnya"
"167","Harga insya Allah lbih murah dan sering byk promo"
"168","Kurang jos"
"169","Hotel bagus dan sesuai kantong"
"170","Pelayanan cepat...."
"171","Nginap di airy harga ekonomis. Tempatnya nyaman karena selalu menginap di airy syariah. Semoga ke depannya airy banyak cabang di daerah lain. Sukses airy."
"172","Goodlah"
"173","Mantap"
"174","okelah lah harga terjangkau bersih dan rapih"
"175","Nice"
"176","Mantap"
"177","Ok"
"178","Mudah dan cepat 👍"
"179","Ya lumayan lah"
"180","Good"
"181","Suka byk diskon"
"182","kali ini kasih bintang 1 sampai ada respon ga pernah kecewa sama airy tapi kali ini bener2 kecewa berat hotel/penginapan yg banyak komplain tolong jangan dimasukin juga deh pertama datang yg sambut bapa tua . dilanjut sama ibu tua . pesan deluxe tapi tv mati mau dikasih kamar standar jelas ga mau sa...Ulasan Lengkapkali ini kasih bintang 1 sampai ada respon ga pernah kecewa sama airy tapi kali ini bener2 kecewa berat hotel/penginapan yg banyak komplain tolong jangan dimasukin juga deh pertama datang yg sambut bapa tua . dilanjut sama ibu tua . pesan deluxe tapi tv mati mau dikasih kamar standar jelas ga mau saya bawa anak2 masa ga ada tv pindahlah ke kamar yg menurut sy bkn deluxe sesuai pesanan juga . belum lama liat tv ehhh mati dan rcp cuma bilang gangguan . sampe kapan ga tau .minta refund kemana ini"
"183","Lumayan"
"184","Bagus n bersih"
"185","Manfap"
"186","Good"
"187","Cepat n harga lebih murah"
"188","Terima kasih Airy.."
"189","Oke"
"190","Mudah cepat murah"
"191","okkk"
"192","Bagus dan memuaskan"
"193","Sangat memudahkan bagi yang suka keluar kota"
"194","MantuL"
"195","Mantap"
"196","amazing..."
"197","Mudah di akses dan tidak ribet app nya. Kamar bersih dan murah"
"198","Tempat lain susah dapet tiket, Alhamdulillah di Airy terpenuhi"
"199","bagus"
"200","Nyaman sekali ,puas dgn fasilitasnya di airy rooms"
"201","Ciamik"
"202","Sangat puas"
"203","Baguslah...kesan pertama gk mengecewakan"
"204","Kamar bersih,pelayanan cepat."
"205","👍"
"206","Ok"
"207","Bagus"
"208","Sangat membantu banget"
"209","Terimakasih buat airy kren tlah brhsil nge refund sya tiket saya"
"210","Harga ya terjangkau hotelnya"
"211","jadi memudahkan mencari penginapan bagus sesuai kantong"
"212","Mantap"
"213","Good"
"214","Bagus"
"215","For Room & Ticket, can be easy.. 👍"
"216","Mantap"
"217","The best"
"218","Tepat saat d butuhkan"
"219","Sangat Berguna"
"220","Aplikasinya bagus, bisa bayar di swalayan seperti indomaret"
"221","Nama saya Achmad Nurizal. Saya tinggal di Samboja Kaltim. Tempat saya sekarang mau jadi Ibu Kota. Dulu waktu saya sebut kecamatan Samboja, org sering melecehkan dan bilang.. Samboja ada di peta kah.. Sekarang kalian tau Samboja jadi Ibukota ha ha ha."
"222","Sip markosip"
"223","airy mantap ,harga tiket sangat murah"
"224","sprei kurang bersih"
"225","good"
"226","Lebih murah"
"227","Sangat membantu"
"228","Sangat membantu sekali"
"229","Mantap"
"230","good"
"231","Sebenarnya sih bagus,cuman sangat disayangkan dibeberapa penginapan nggak bisa cancel/reschedule..."
"232","Apk nya membantu saya dalam mencari tiket pesawat Pencarian tiket nya cepat Menurut saya apk ini yang paling top sekarang ini"
"233","Memuaskan"
"234","Pemesanan hotel cepat banget nggak pakai ribet,,,semoga hotel yang di iklankan sesuai dengan keadaan sebenarnya...sukses buat Airy 🙂"
"235","Mantap. Proses cepat"
"236","Mantul"
"237","good"
"238","Semuanya bagus, hanya saja di beberapa kamar hotel ada yang sedikit kurang bersih"
"239","Sangat terbantu dengan airy kapan pun dimana pun bisa langsung pilih dan pesan, succes for airy 🙏"
"240","Bagus"
"241","Pelayanannya mudah dan murah"
"242","Bagus dan lbih terjangkau"
"243","Air Hangat Tidak berfungsi dan AC tidak Dingin,"
"244","functional"
"245","Baik,tapi kurang promo"
"246","menyenangkan,cepat,lebih murah"
"247","Sangat spetakuker dan membantu dan dapat di rasakan manfaatnya"
"248","Mudah, gampang, dan lebih murah"
"249","Boleh lah harga bersaing ama yg lain"
"250","Mantap, biaya minim tpi kualitas ok"
"251","Mantul"
"252","Kamarnya dan pelayanannya memuaskan... Sayangnya pasword wifi gak ada di kamar"
"253","Ok dan murah"
"254","Yes deh. Mudah gak ribet"
"255","Lumayan ... Tapi gak bisa bayar cash ..."
"256","Kamarnya bagus dan harga murah lagi"
"257","Roomnya bersih... harganya gak tipu-tipu"
"258","3 dulu...baru pakai"
"259","ada paylaternya kah ni..."
"260","Lebih murah"
"261","Harga tiket termasuk murah... Meskipun promo nya gak banyak..."
"262","Mantap"
"263","mantap"
"264","Nyaman, murah, dan tergantung lokasi juga sih, ada yg gak ns parkir mobil"
"265","Sangat membantu saat di luar kota untuk mendapatkan penginapan"
"266","Oke"
"267","Mudah"
"268","Good job"
"269","Baik"
"270","Best app travel dengan harga terjangkau"
"271","Pengalaman pake airy si oke bgt. Dengan harga murah bsa menikmati fasilitas hotel yg mewah. Airy keren si kalo pengalaman sy... dan masalah harga airy slalu lebih murah d banding aplikasi lain... airy ma keren"
"272","Mrh dam nyaman pas di kantong lokasi strategis nyaman buat istirahat"
"273","Sangat kecewa sekali!!!!"
"274","Membantu sekali"
"275","Terpercaya, respon tepat waktu"
"276","Ok"
"277","Diskonannnya sama ajah"
"278","Goood"
"279","Gak bisa cek kapal laut 👎👎👎"
"280","Sangat membantu cuuuy.. mantaaap"
"281","Lanjutkan"
"282","Ada hotel yg tidak sesuai standard kenyamanan"
"283","Mudah"
"284","Sementara 2 dulu, cb ad diskon kah"
"285","Good"
"286","Good"
"287","Oke"
"288","Sangat membantubuat aku yang suka traveling"
"289","Nice, fasilitasnya bagus dgn harga yg trjangkau."
"290","Ok. Banget"
"291","Aplikasi yg sangat membantu, mungkin untuk kedepannya lebih diperbanyak katalog nya di setiap kota."
"292","Sangat memuaskan dan memiliki harga yang lebih murah."
"293","Sangat nyaman"
"294","Harga murah, tempat bersih dan pelayanan baik."
"295","top"
"296","Ok... Mantap"
"297","Mantap"
"298","Membantu sangat"
"299","Ok"
"300","Pelayanannya ramah kamar nya bersih klo ada waktu sya pasti menginap di airy lagi 😊"
"301","Good"
"302","Good"
"303","Ok"
"304","I like this application"
"305","Mantap"
"306","Mantap"
"307","cukup memuaskan"
"308","sangat bagus ramah pelayanan airy denpasar darma wisata jln imambonjol no 125"
"309","Mantap"
"310","Pelayanan nya sangat ramahh tempat nya bersihhh wangiiii pokonyyaaaaaaa bagussss temattt nyaaa.👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍"
"311","Nice"
"312","lumayan"
"313","Cepat"
"314","Senang.......dan sangat membantu"
"315","MantapPKS airy sangat membantu dan memudahkan dalam pemesanan hotel"
"316","Mantap"
"317","Sangat nyaman, lokasi gampang dicari, pelayanan baik, petugas ramah, fasilitas memuaskan."
"318","Bagus"
"319","Bagus"
"320","Tidak memuaskan"
"321","Semoga lebih baik lagi"
"322","Sangat puas"
"323","Job"
"324","Mantap...pertahankan pelayanannya"
"325","😊"
"326","Puas"
"327","Saya puas dgn pelayanan airy,bnyk alternatife pilihan harga.bgtu ada kendala,customer service ramah."
"328","Mantap"
"329","Mantap jiwa!!!"
"330","Ntaps"
"331","Nelum sih mudah2an sesuai harapan"
"332","harganya murah"
"333","Mantap"
"334","Good"
"335","Aku suka banget mesan tiket di airy, murah trus gak ribet. I love you 3000 airy 😚 harga anak kuliahan hehe"
"336","Sangat puas"
"337","So clean and comfortable"
"338","seneng banget nginep di airy. hotelnya murah, bersih, ac tv snack, dan banyak voucher promonya di aplikasi, plus bisa dapet cashback gopay kalau bayarnya pakai gopay jika ada promo. ngecek di penginapan aplikasi lain mahal-mahal. di airy sudah lebih murah."
"339","Puas sekali"
"340","Saya udh 3 kali menginap di Airy Rooms Kost 168 Palembang. Tempat Bersih, Nyaman. Pelayanannya jga baik, Ramah."
"341","Harga kamar rélatif murah"
"342","Jos..."
"343","Ok"
"344","The best"
"345","Bagus pelayanan nya"
"346","Oke"
"347","Bokep"
"348","enak murah . pertahan kan ya"
"349","Bagussss"
"350","Mantap"
"351","Bersih"
"352","Mantap"
"353","Br download ntr ntr kpn2 coba"
"354","Saya menginap di airy ciparay dan uda bayar tapi tiketnya belum terbit uda 30 menit lebih, kata cs nunggu sampai batas waktu habis, hebat, ini saya kemaleman padahal, proses tiketnya lama banget"
"355","Ok"
"356","Harga tiket lebih murah"
"357","Aplikasi yg sangat membantu"
"358","Nginap di Surabaya pakai Airy Eco ... 1(satu) nyaman dan puas..... Selamat buat Airy Eco"
"359","ini pertama kali nya pesan pke airy mudah2an memuaskan"
"360","Oke punyaaa"
"361","Diskon ny tambahin lagi"
"362","Uninstall aja lah,, pilihan hotelnya dikit, promonya gak jelas,, hotel di lampung bnyak, tpi airy cma ada beberapa aja.."
"363","Harga murah dan kualitas hotel ok"
"364","App nya useful sekali dan tidak ribet digunakan"
"365","Aplikasih terbaik 👍🏻"
"366","Lebih Murah diantara yg lain"
"367","Ok"
"368","Good job"
"369","Mantap"
"370","Sangat membantu"
"371","Dari sekian banyak tawaran hotel murah. Airy lah juaranya."
"372","Good"
"373","Harga terjangkau"
"374","Ok"
"375","Memuaskan dan murah di banding dg yg lain"
"376","Ada kalanya tidak sama dengan difoto, keadaannya"
"377","Mantap."
"378","Bagus"
"379","Masyaallah.Bagus.tidak ribet pembayaran nya. e tiket nya tidak lama langsung terkirim di g mail"
"380","Kamar bersih pelayanan memuaskan"
"381","Harga lebih murah dari aplikasi lain"
"382","Good"
"383","Recommended aplikasi. Harga bersahabat dan terjangkau"
"384","Nyaman di airy suasananya juga oke kamarnya juga bagus.yang terpenting discon jalan trusss"
"385","Kurang komplit pelatan mandinya gaada gosok giginya"
"386","Lebih mudah n frendly"
"387","Mantap jiwa"
"388","sangat mudah dan ramah pelayanannya dan gampang,cuma baru sebatas pesan sih d aplikasi belum sempat nginap tapi mudah2an pelayanan sesuai dengan promo dan tercantum di aplikasi"
"389","Jau lbih murah"
"390","Bagus bersih"
"391","Utk pesanan yg plg enak pakai kartu kredit. Kl bayar pakai ATM agak repot carinya. Khusus utk Airy yg di Pemalang (saya sdh 2X ini) yg di Jend. Sudirman Timur 5, ubin km mandi licin dan orang mudah terpeleset, ngeri kl jatuh."
"392","mantap"
"393","Liburan sama keluarga Selalu memuaskan .. Budget pas2an ga jd masalah lg heehe thanks airy🤗"
"394","Sangat membatu perjalanan saya.di saat saya membutuh kan tiket dadakan airy solusi nya."
"395","Harga harga airy room nya banyak yang terjangkau"
"396","Lancar jaya"
"397","Minus ya di shower tidak nyala terimakasih🙏"
"398","Membantu,dan ga ribet aplikasinya"
"399","Bagus dan cepat prosesnya"
"400","Sangat membantu"
"401","Simple ❤️"
"402","Good"
"403","Pelayanan terbaikk"
"404","Memuaskan .pencarian mudah"
"405","Aplikasi terbaik untuk pemesanan hotel dan tiket pesawat dengan harga yang baik 😊🙏🏼"
"406","Bagus"
"407","Murah dan bersih"
"408","Proses mudah"
"409","Saya sudah booking"
"410","Aplikasinya oke CS Nya Pun Ramah"
"411","Saya sudah pesan di airy lewat aplikasi. Di WA oleh pihak hotelnya kalau itu sudah penuh dan mau dialihkan ke tempat lain. Dan sy menolak dan minta refund. Katanya maksimal 3 HR. Sampai skrg sudah 1 minggu lebih uang blm di refund. Sy sangat kecewa sekali. Di aplikasi masih ada kamar begitu dipesan ...Ulasan LengkapSaya sudah pesan di airy lewat aplikasi. Di WA oleh pihak hotelnya kalau itu sudah penuh dan mau dialihkan ke tempat lain. Dan sy menolak dan minta refund. Katanya maksimal 3 HR. Sampai skrg sudah 1 minggu lebih uang blm di refund. Sy sangat kecewa sekali. Di aplikasi masih ada kamar begitu dipesan kamarnya sudah penuh. Refund jg TDK masuk. PAYAH"
"412","Membantu sekali, memudahkan proses pemesanan hotel"
"413","Mantap"
"414","Good"
"415","Apik"
"416","nyaman,murah tapi tidak murahan,dan sangan baik pelayanan nya...."
"417","Oke lah👍"
"418","Voucher dan bukti pembayaran sudah masuk ke email, tapi di aplikasi tidak ada Itu bagaimana ya?"
"419","Beberapa pilih hotel lewat airy tdk mengecewakan good tingkatkan oelayanannya"
"420",",t"
"421","Mudah dan cepat ,"
"422","Ok"
"423","Good"
"424","Recommended"
"425","Santuy"
"426","Empat dulu deh"
"427","Top markotop👌👍👍👍👍👍👍👍"
"428","Ok"
"429","Sering sering banyak promo"
"430","Baikk"
"431","Termurah"
"432","Mudah"
"433","Airy Pelayanan nya Jelek , Masa tamu yang bawa pasangan , yang boleh nginep di hotel harus udh nikah , Dan Harus menunjukkan buku nikah , Ini Hotel Atau Masjid ."
"434","Bagus,betsih,murah"
"435","Sangat membantu dan gak ribet"" lagi"
"436","Good"
"437","Memuaskan"
"438","Pelayanan memuaskan"
"439","Andi tangsa"
"440","Dpt voucer😍"
"441","Good"
"442","oke....oke...ok"
"443","Good"
"444","Aplikasi yg sangat membantu utk keperluan menginap"
"445","harga murah"
"446","Bgus lebih hemat dan murah 😁😁😁"
"447","Kebanyakan syariah, pencarian juga dikit gak ada pilihan banyak"
"448","Mantap apakah ada voucher bagi pendownload kaya di sebelah."
"449","Sistem eror terus parah"
"450","Cek in pada umumnya di hotel lain jam 7 pagi sudah bisa, tapi di airy tidak. Agak kecewa bayar 50% lagi dari harga standar biar bisa cek in."
"451","Semoga nyaman"
"452","Ok"
"453","👍👍"
"454","Good aplikation"
"455","sekali kali boleh lah dikasih diskonnya"
"456","Mantap"
"457","ok"
"458","Jos"
"459","God"
"460","Mantab banget dahh"
"461","Mantapp baru order tiket pesawat dikasih harga murahhh... Mantaappp.."
"462","Ok Ok"
"463","Bagus"
"464","👍👍👍"
"465","Oke"
"466","Top"
"467","Sangat membantu"
"468","Lebih murah dan mudah"
"469","Kenapa Banyak Iklan Muncul..sangat mengganggu saat Online..maen game...nonton dan seterusnya"
"470","Baru pertama kali pakai airy, semoga pengalaman yg menyenangkan bisa boking hotel di airy"
"471","Airy sll membantu saat kami bepergian keluar kota. Dg harga yg terjangkau dan byk pilihan hotelnya. smoga ada di kota sorong papua segera."
"472","Ok"
"473","Bagus,tempat nya bersih"" Dan respon nya baik, untuk Harga....... Cocok untuk para backpacker"
"474","Good pokona mah"
"475","Good"
"476","Ok"
"477","Harga terjangkau"
"478","ok"
"479","Pas buat di kantong @@"
"480","Mantap"
"481","Tiket murah, mudah mudahan jadwal tepat."
"482","👍"
"483","Membantu terbaik ,mudah untuk di pesan banyak promo nya makasih"
"484","Mantaps"
"485","Belum nyoba sih hotelnya tpi dri segi promosi voucher bagus"
"486","Luar Biasa, cepat Dan bagus"
"487","Mempermudah banget . Makasih"
"488","Terimakasih airy"
"489","Kamarnya lumayan, rapi bersih"
"490","Memuaskan"
"491","Selalu memuaskan, Ada snack box dan air mineral Aplikasi selalu banyak diskon pilihan"
"492","sangat membantu"
"493","Good"
"494","Semoga aplikasi ini sesuai iklan dan benar2 murah"
"495","👍"
"496","Sugoiiiii!!!!!"
"497","Sangat recomended"
"498","Harganya terjangkau tapi standarnya good"
"499","Bagus, membantu"
"500","💕💕💕"
"501","Pertama kali saya pakai aplikasi airy, begitu mudah dan sangat membantu maka untuk aplikasinya saya beri 5 bintang Saya sudah booking, dan saat chekin dan menginap saya akan nilai lagi penginapan dari airy. sesuaikah dengan yang tertera, pelayanannya dan kondisi penginapannya. Untuk saat ini saya uc...Ulasan LengkapPertama kali saya pakai aplikasi airy, begitu mudah dan sangat membantu maka untuk aplikasinya saya beri 5 bintang Saya sudah booking, dan saat chekin dan menginap saya akan nilai lagi penginapan dari airy. sesuaikah dengan yang tertera, pelayanannya dan kondisi penginapannya. Untuk saat ini saya ucapkan, makasih airy"
"502","Lumayan bagus baru pertama pakai moga lancar"
"503","Bagus"
"504","Mantap"
"505","Sudah 3 tahun saya pakai airy, tp masih tetap THE BEST soal harga Tiket Pesawat.. thanks Airy"
"506","Airy praktis n nyaman"
"507","Praktis"
"508","Terbaeeeekk"
"509","Bnyak promo nya bestt"
"510","ok"
"511","Promony banyakin lagi dtgu ya"
"512","Cepat jelas aplikasi terperinci"
"513","Murah meriah"
"514","Kamarnya nyaman, bersih dan wangi"
"515","menggunakan Airy ternyata sangat bermanfaat 😊😉 dan maju terus Airy"
"516","Ok sip"
"517","Kamarnya bersih... fasilitas lengkap. Mau wisata kulinerpun dekat. Pokoknya airy toop banget."
"518","Praktis..."
"519","Sudah bagus, tapi tolong lebih dipermudah untuk mengaksesnya, seperti aplikasi tra****loka, selamat berkembang airy"
"520","nyaman tempat nya."
"521","Good"
"522","👍"
"523","Membuat liburan ku lebih mudah"
"524","Harga murah dari tokolain"
"525","pertahankan kerja dan kinerja yg sdh baik, tingkatkan yg masih kurang"
"526","Mantul"
"527","Airy selalu membantu saya untuk destinasi tempat nginap yg aman, nyaman, dan murah. Pokoknya mantap deh"
"528","New user. Tiga bintang dlu untuk sekarang.. Nanti saya ubah setelah perkembangan pemesanan dan melihat kondisi kamarnya.. Pencarian hotel dan cara pemesanan mudah (user friendly)"
"529","Ok"
"530","Foto kurang objektif, perlu verifikasi"
"531","Sangat membantu, apalagi ada promo BPJS TK sekarang. Lebih digedein lah promonya lumayan kan buat menyisihkan tabungan nikah heheheheheh"
"532","Maksih airy"
"533","Aplikasi yg mendukung untuk pencarian tiket dan harga Terjangkau. Terima kasihan Airy"
"534","Kkkkkkklkk"
"535","aplikasi yg sgt membantu"
"536","Ok lah"
"537","Good"
"538","Tp tlng di cek barang untuk kmr ya, jgn sampe telat oh iya tolong spre ya lebih bersih lagi. Oh iya untuk airyroom yang di jelambar kaving polri untuk bisa konsisten ga usah belagu ga butuh tapi nagih."
"539","Fery good"
"540","Bagus"
"541","Diskon nya yg real dong"
"542","Hotel kurang banyak di dekat rs Fatmawati"
"543","Good app"
"544","Oke"
"545","Good"
"546","Pada saat refund tiket proses pengembalian dana nya repot kita konsumen di suruh mengecek rekening padahal pihak maskapai sudah mengkonfirmasi tiket dan meminta kita untuk pengembalian dana dari pihak airy,"
"547","Loadingnya bagus ditingkatkan lagi. So fast better for user."
"548","Guds"
"549","Fast"
"550","Ok Banget"
"551","mantul"
"552","Ok"
"553","Mantap"
"554","Menyenangkan"
"555","Mantap"
"556","Coba Update berkali-kali selalu gagal, padahal jaringan internet stabil,."
"557","Oke"
"558","Top"
"559","Mantulll"
"560","Proses sgt mudah dan cepat.. sukses sll"
"561","Baru pertama kali make"
"562","Mantap"
"563","Mantap ni hotel ...yg low budget mah pas ke sini😇...hotel bersih nyaman enak dh pokok y buat di Lembang pas kemna2"
"564","Ntap"
"565","Depositnya kegedean wooyyy"
"566","Mantap"
"567","Good Choice"
"568","Good"
"569","Bagus"
"570","Ok Banyak promosi"
"571","oke tapi promonya tolong ditingkatkan"
"572","Bagus"
"573","Mantap"
"574","Coba2 semoga memuaskan"
"575","sanagat baik"
"576","Recomend"
"577","Kecewa sama airy, gak fair ternyata review yg dimunculkan yg bagus2 aja.. saya review kurang bagus (hasil pengalaman menginap saya) ternyata gak dimunculkan.. pantesan.. nyesel pokoknya..kapok.."
"578","Biar bintang yang bicara"
"579","recomended"
"580","Penginapan nya bersih dan pelayanan nya juga ramah di eco ilir barat swakarya satu palembang"
"581","Mantap"
"582","Bagus, nyaman, murah dan the best deh"
"583","Ok"
"584","Ok banget"
"585","irwan.minta.airy.tiket"
"586","Oke sip"
"587","Cukup aman buat kantong😁 tpi sayang temen saya di tolak di airy padahal sudah bayar di alfa"
"588","Sangat memuaskan"
"589","Bagus banget"
"590","Baik."
"591","Cepat"
"592","Bagus"
"593","Mantap"
"594","Mantap"
"595","Mantap.."
"596","Proses refund susah, harus menghubungi 0804 yang memerlukan banyak pulsa"
"597","Airy jossss"
"598","Puas,semuanya lancar"
"599","Sangat membantu Dan recommended bgt"
"600","Maknyus"
"601","Keren"
"602","Bagus dan membantu"
"603","Service cepat, utk airy disc promo kok susah digunakan ...tdk seperti yg dulu2...ke depan moga ada disc promo yg menarik n bisa dipake tentunya...."
"604","Sangat mudah"
"605","Mantap"
